n,m,max_log_ratio,anchor_bound,heat_mass,tau0
40,4,7.735581675660796e-05,2.4472245773362196,1.0,0.005289819120600163
40,8,0.0003889980936477855,2.4472245773362196,1.0,0.012291076014459024
40,14,0.002498251139175345,2.4472245773362196,1.0,0.03236029677493698
40,19,0.030596594845169633,2.4472245773362196,1.0,0.11999276197106504
40,20,0.08709882882713282,2.4472245773362196,1.0,0.2242443233410543
64,4,1.7376737504903872e-05,2.4472245773362196,1.0,0.0020198949121115976
64,8,6.971583118531299e-05,2.4472245773362196,1.0,0.004373328154044394
64,24,0.0018240392286039686,2.4472245773362196,1.0,0.025971221851406403
64,31,0.033181868193302044,2.4472245773362196,0.9999999999999999,0.12011039247276267
64,32,0.09214176563792886,2.4472245773362196,1.0,0.2238747857912427
128,4,2.032811737606721e-06,2.4472245773362196,1.0,0.000496253073885332
128,8,6.975379736040566e-06,2.4472245773362196,1.0,0.001027882914239827
128,53,0.0012435600034734762,2.4472245773362196,1.0,0.020185991100253563
128,63,0.035378868944854425,2.4472245773362196,1.0,0.12013633540363874
128,64,0.09639673446258534,2.4472245773362196,1.0,0.22354475876153446
512,4,3.027391670684665e-08,2.4472245773362196,1.0,3.0638081775172226e-05
512,8,9.375668419409067e-08,2.4472245773362196,1.0,6.177027152801027e-05
512,234,0.0004065450941590498,2.4472245773362196,1.0,0.010784425765872425
512,255,0.03705095264492009,2.4472245773362196,0.9999999999999999,0.12011285638151445
512,256,0.0996170806047112,2.4472245773362196,1.0,0.22328426138714894
2048,4,4.693827548862828e-10,2.4472245773362196,1.0,1.909216293541502e-06
2048,8,1.415038752838882e-09,2.4472245773362196,1.0,3.8259491360550855e-06
2048,979,0.00010991369598301048,2.4472245773362196,1.0,0.005423660504026833
2048,1023,0.037472135390857364,2.4472245773362196,1.0,0.1201012431821583
2048,1024,0.10042587225371435,2.4472245773362196,0.9999999999999999,0.22321741663697492
4096,4,5.932676572228957e-11,2.4472245773362196,1.0,4.770703019024843e-07
4096,8,1.7770673821360106e-10,2.4472245773362196,1.0,9.550760342016538e-07
4096,1984,5.625968965627948e-05,2.4472245773362196,1.0,0.0038421740520667197
4096,2047,0.03754245357006525,2.4472245773362196,1.0,0.12009908443992089
4096,2048,0.10056081116477,2.4472245773362196,1.0,0.2232062092880316
