n,W_rel,W_over_n,R_center,twice_reverse_flux,twice_J_flux,twice_response_flux,ledger_error,count_mass_error
8,-1.9466552391482545e-09,-2.433319048935318e-10,5.64278525006209e-11,1.9466679259243425e-09,-7.269604751669722e-15,4.816665643810946e-18,5.421988002013232e-15,-2.1316282072803006e-14
10,-1.600066343636119e-07,-1.600066343636119e-08,3.2446818819923937e-09,1.5610415740918896e-07,3.4239979367124634e-09,4.784776425887832e-10,-1.3751216978349687e-15,-2.842170943040401e-14
12,-2.105592348699726e-06,-1.7546602905831048e-07,3.1988655439162114e-08,1.9253445658775767e-06,1.538940051030105e-07,2.6353777507448837e-08,-2.1168979588969245e-16,-2.842170943040401e-14
14,-1.3065907758236338e-05,-9.332791255883098e-07,1.5601617642508803e-07,1.1184219818138494e-05,1.5736730655472372e-06,3.0801487454553736e-07,-5.0688039750473434e-18,-8.526512829121202e-14
16,-5.384389019842536e-05,-3.365243137401585e-06,5.235528302130014e-07,4.343372923287272e-05,8.601949615923e-06,1.8082113496290148e-06,-6.299807545203859e-19,-1.4210854715202004e-13
18,-0.00017068440588978868,-9.482466993877149e-06,1.3888797842281308e-06,0.00013060535456027575,3.283652222079572e-05,7.2425291087172334e-06,2.964615315390051e-20,-1.7053025658242404e-13
