n,m,xi,b,b_direct,b_discrepancy,source_peak,source_bound,source_ratio,y_over_m,H_ratio,lower_clock_ratio,upper_clock_ratio,moment_error
40,4,0.000625,0.9967615324002633,0.9967615324002814,1.8096635301390052e-14,0.2472205792919394,6044.599829278683,4.089941208257634e-05,0.0007341291686413209,1.175524647706861,2.2918259638068808,0.001431496542040525,1.5959455978986625e-16
40,4,0.0006290201628139971,0.9967407340134248,0.9967407340134251,3.3306690738754696e-16,0.24721323508701376,5988.708068492165,4.1279894137377287e-05,0.0007388437500543659,1.1755030001246338,2.291811250941579,0.0014406892636110611,1.942890293094024e-16
40,4,0.0006330661843624754,0.9967198022617113,0.9967198022617332,2.1871393585115584e-14,0.24720584394501152,5933.338594004642,4.166386934243081e-05,0.0007435885598854696,1.1754812139301392,2.2917964437978635,0.0014499409214439143,1.942890293094024e-16
40,4,0.000637138230975552,0.9966987362926347,0.9966987362926218,1.2878587085651816e-14,0.2471984055679264,5878.486488153651,4.2051369185942946e-05,0.0007483637913230696,1.1754592882398986,2.291781541773937,0.0014592518921391641,1.6653345369377348e-16
40,4,0.0006412364700532211,0.9966775352482924,0.9966775352482848,7.549516567451064e-15,0.24719091965587955,5824.146879824688,4.244242543267045e-05,0.0007531696387821894,1.175437222164857,2.291766544264166,0.0014686225546872147,1.8041124150158794e-16
40,4,0.0006453610700722395,0.9966561982653335,0.9966561982653275,5.995204332975845e-15,0.24718338590714375,5770.314944008969,4.283707012626442e-05,0.0007580062979121233,1.175415014810345,2.2917514506591004,0.0014780532904837933,2.0816681711721685e-16
40,4,0.0006495122005930483,0.9966347244749221,0.9966347244749301,7.993605777301127e-15,0.24717580401793668,5716.985901365488,4.323533559159195e-05,0.000762873965604164,1.1753926652760462,2.2917362603454206,0.00148754448334498,2.3592239273284576e-16
40,4,0.0006536900322667465,0.9966131130027083,0.9966131130027023,5.995204332975845e-15,0.2471681736827968,5664.1550177871795,4.363725443717785e-05,0.0007677728399993828,1.1753701726559609,2.291720972705936,0.00149709651952237,2.42861286636753e-16
40,4,0.0006578947368421052,0.996591362968789,0.996591362968811,2.19824158875781e-14,0.24716049459428432,5611.817603971242,4.404285955754861e-05,0.0007727031204964539,1.1753475360383718,2.291705587119527,0.0015067097877182955,1.942890293094024e-16
40,8,0.000625,0.994810419943424,0.9948104199434287,4.6629367034256575e-15,1.2421437924143552,6672.9525651504255,0.00018614605458181527,0.0009592565170144419,1.3702396039222842,2.9937783209543394,0.0018699427363862205,-5.551115123125783e-17
40,8,0.0006290201628139971,0.9947771453934234,0.9947771453934227,7.771561172376096e-16,1.242075955130857,6613.042398818316,0.0001878221671998963,0.0009654119734747938,1.3702066422334942,2.9937384398731988,0.0018819380638842105,-2.0816681711721685e-16
40,8,0.0006330661843624754,0.9947436581780261,0.9947436581780504,2.4313884239290928e-14,1.2420076862145724,6553.680201041859,0.00018951301377463103,0.0009716068338459855,1.3701734699041261,2.9936983040460037,0.0018940101287094912,-1.6653345369377348e-16
40,8,0.000637138230975552,0.9947099569468311,0.9947099569468598,2.8754776337791554e-14,1.2419389829494332,6494.860890019544,0.00019121871953529953,0.000977841349147735,1.3701400855969783,2.993657911857017,0.0019061594190663232,-2.220446049250313e-16
40,8,0.0006412364700532211,0.9946760403409759,0.9946760403409769,9.992007221626409e-16,1.241869842602886,6436.579431546855,0.00019293941072431336,0.0009841157719831396,1.3701064879664728,2.9936172616803844,0.0019183864262301655,-2.7755575615628914e-16
40,8,0.0006453610700722395,0.9946419069930843,0.994641906993083,1.3322676295501878e-15,1.2418002624255071,6378.83083856733,0.00019467521460475232,0.0009904303565484653,1.3700726756586064,2.9935763518800806,0.0019306916445665622,-9.71445146547012e-17
40,8,0.0006495122005930483,0.994607555527215,0.9946075555272351,2.0095036745715333e-14,1.2417302396509342,6321.6101707279595,0.00019642625946799625,0.0009967853586429754,1.3700386473108994,2.9935351808098662,0.0019430755715501295,-1.8041124150158794e-16
40,8,0.0006536900322667465,0.9945729845588084,0.9945729845588147,6.328271240363392e-15,1.2416597714958084,6264.912533938723,0.00019819267464140993,0.0010031810356788498,1.3700044015523445,2.9934937468132334,0.001955538707783657,-2.0816681711721685e-16
40,8,0.0006578947368421052,0.9945381926946355,0.9945381926946695,3.397282455352979e-14,1.241588855159763,6208.733079936344,0.00019997459049608433,0.0010096176466911336,1.3699699370033525,2.9934520482232925,0.001968081557017287,-1.5265566588595902e-16
40,14,0.000625,0.985790956208179,0.9857909562081639,1.509903313490213e-14,7.943028878834784,7615.481668958041,0.0010430107016358374,0.0017745088948482768,1.4495013870668836,5.527158273509544,0.0034523162233039,3.608224830031759e-16
40,14,0.0006290201628139971,0.9857006213159796,0.9857006213159814,1.7763568394002505e-15,7.941762803534543,7549.543894307542,0.0010519526629314308,0.001785851070698836,1.4494370144378268,5.526876715738953,0.003474331467041937,4.996003610813204e-16
